GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventario,cl.perfulandia.inventario.service,InventarioService,35,93,5,5,10,29,5,8,0,8
inventario,cl.perfulandia.inventario.service,AlertaInventarioService,13,112,2,10,4,32,2,11,0,7
inventario,cl.perfulandia.inventario.service,ProductoService,38,112,7,7,10,25,7,8,0,8
inventario,cl.perfulandia.inventario.service,MovimientoService,68,339,12,26,17,67,14,17,2,10
inventario,cl.perfulandia.inventario.controlador,AlertaController,16,133,3,5,4,31,3,8,0,7
inventario,cl.perfulandia.inventario.controlador,MovimientoController,42,270,9,19,12,61,10,14,1,9
inventario,cl.perfulandia.inventario.controlador,InventarioControlador,34,133,2,6,7,34,2,8,0,6
inventario,cl.perfulandia.inventario.controlador,ProductoController,56,182,10,10,14,39,11,8,1,8
inventario,cl.perfulandia.inventario.assemblers,MovimientoModelAssembler,0,61,0,0,0,6,0,2,0,2
inventario,cl.perfulandia.inventario.assemblers,AlertaInventarioModelAssembler,75,3,0,0,8,1,1,1,1,1
inventario,cl.perfulandia.inventario.assemblers,ProductoModelAssembler,0,76,0,0,0,7,0,2,0,2
inventario,cl.perfulandia.inventario.assemblers,SucursalStockModelAssembler,0,34,0,0,0,4,0,2,0,2
inventario,cl.perfulandia.inventario,InventarioApplication,0,8,0,0,0,3,0,2,0,2
